investment_id,customer_id,investment_type,amount_invested,return_rate
173,1525,Mutual Funds,49549.95,0.0556
174,2489,Mutual Funds,7564.48,0.0914
175,2259,Stocks,24024.87,0.1071
176,2794,Bonds,40558.36,0.0358
177,3899,Stocks,4579.35,0.0921
178,692,ETF,14299.3,0.0164
179,4951,Mutual Funds,11038.44,0.0316
180,4066,Mutual Funds,3578.19,0.1053
181,4995,Mutual Funds,2498.6,0.0553
182,3077,Stocks,46780.85,0.0608
183,3592,ETF,39897.48,0.1169
184,4258,Bonds,31898.44,0.1347
185,1186,ETF,27797.43,0.0115
186,1978,ETF,38450.29,0.0451
187,3517,Stocks,27329.64,0.0149
188,1334,Stocks,18059.29,0.0652
189,919,Stocks,38253.32,0.0159
190,2194,Mutual Funds,4631.99,0.1408
191,117,Bonds,28259.71,0.0431
192,3601,Mutual Funds,3286.86,0.0202
193,2215,Bonds,21859.27,0.0552
194,3171,ETF,4222.68,0.069
195,3914,Bonds,15909.86,0.1202
196,2553,Bonds,13125.59,0.1138
197,4990,ETF,5207.49,0.0124
198,3997,Bonds,4246.12,0.0283
199,180,Stocks,44621.14,0.0112
200,2971,Stocks,25354.53,0.0766
201,3316,Bonds,3660.35,0.0438
202,2370,Stocks,3920.97,0.052
203,873,ETF,2378.76,0.0135
204,2833,ETF,21877.0,0.1156
205,60,Bonds,13687.55,0.022
206,2035,ETF,13505.79,0.0854
207,4182,ETF,28157.24,0.1048
208,1673,Stocks,1570.86,0.0203
209,317,Stocks,22571.96,0.1459
210,433,Stocks,1094.97,0.1386
211,953,Bonds,4480.12,0.0621
212,3611,Mutual Funds,42977.46,0.0756
213,771,Mutual Funds,36799.06,0.0788
214,1767,ETF,30051.22,0.0962
215,1647,Stocks,39057.75,0.0189
216,1169,Bonds,42435.4,0.0227
217,371,Mutual Funds,5063.11,0.1158
218,1984,ETF,5270.09,0.0722
219,4098,Stocks,44475.65,0.0163
220,2234,ETF,15086.12,0.1311
221,424,Bonds,23414.19,0.1056
222,4667,ETF,14874.31,0.0863
223,1377,Stocks,39055.65,0.0679
224,1880,Stocks,9522.12,0.1062
225,976,Mutual Funds,6450.48,0.125
226,1973,ETF,37034.91,0.0699
227,1074,Mutual Funds,16454.67,0.0562
228,3877,Bonds,3981.52,0.1224
229,3220,Bonds,38011.48,0.0537
230,1462,ETF,4782.91,0.0883
231,2969,Stocks,36812.31,0.0137
232,1112,ETF,22159.49,0.0866
233,3939,Bonds,20404.79,0.0888
234,302,Mutual Funds,29742.07,0.0442
235,896,Stocks,34121.29,0.0189
236,3830,Stocks,1733.88,0.1376
237,1961,Bonds,26257.93,0.0826
238,3759,ETF,29020.92,0.0958
239,337,Mutual Funds,2315.93,0.0659
240,1158,Bonds,9417.44,0.0414
241,2593,ETF,19761.19,0.0147
242,4794,Bonds,49443.25,0.0615
243,2831,Mutual Funds,48755.42,0.1052
244,71,Stocks,36987.5,0.1065
245,1723,Mutual Funds,11713.61,0.0918
246,4931,Stocks,30100.44,0.0387
247,1344,Stocks,14613.46,0.0894
248,810,Bonds,29853.36,0.0799
249,4342,Mutual Funds,2462.29,0.1047
250,4560,Bonds,28012.06,0.0449
251,1485,ETF,28659.66,0.0815
252,4005,Stocks,22566.23,0.0818
253,4232,Bonds,8587.6,0.0623
254,3528,ETF,8850.22,0.099
255,1350,ETF,31805.58,0.0864
256,3831,ETF,43084.47,0.1283
257,733,Stocks,32305.51,0.0765
258,2760,Stocks,1640.03,0.0558
259,3521,ETF,35373.24,0.0671
260,3559,Bonds,15786.0,0.0612
261,2608,Mutual Funds,21867.92,0.0295
262,94,Bonds,46071.36,0.1273
263,401,Mutual Funds,6500.55,0.0141
264,1795,ETF,41854.98,0.0288
265,4840,Stocks,31104.79,0.1424
266,3777,Stocks,12617.83,0.1345
267,3715,Mutual Funds,32245.69,0.1301
268,583,Stocks,17583.83,0.1397
269,3765,Bonds,22991.59,0.029
270,1180,Mutual Funds,43248.61,0.1246
271,2165,Mutual Funds,13017.95,0.1094
272,3715,ETF,22701.01,0.1433
273,1947,Bonds,21018.24,0.0395
274,4886,Mutual Funds,30517.33,0.071
275,748,Mutual Funds,9128.46,0.093
276,2569,Stocks,28464.37,0.0202
277,2701,ETF,38819.13,0.0337
278,2150,Bonds,2674.49,0.1404
279,890,Stocks,20227.4,0.1204
280,820,Mutual Funds,12901.57,0.0964
281,4965,ETF,42232.66,0.0109
282,4734,ETF,13575.96,0.0575
283,817,ETF,39477.39,0.1484
284,278,Bonds,30751.39,0.0617
285,4719,Mutual Funds,18806.28,0.1248
286,972,Stocks,39864.84,0.1229
287,1828,Mutual Funds,28720.2,0.0104
288,1870,ETF,2480.56,0.1313
289,3942,Bonds,25295.24,0.0308
290,11,ETF,28051.7,0.1233
291,226,Bonds,30874.02,0.1191
292,4829,ETF,25977.37,0.133
293,4671,Bonds,40533.45,0.0627
294,2659,ETF,44894.04,0.105
295,3538,Stocks,39191.28,0.0247
296,1491,ETF,5099.13,0.1083
297,1708,Mutual Funds,44497.47,0.1465
298,3363,ETF,25196.85,0.0844
299,1724,Mutual Funds,27645.64,0.1203
300,2264,Stocks,15726.99,0.0561
301,1127,Bonds,35498.11,0.1465
302,1237,ETF,45052.5,0.1335
303,2765,Mutual Funds,24668.02,0.1015
304,4708,ETF,45148.1,0.1112
305,4058,Mutual Funds,24524.48,0.0361
306,3149,Bonds,40765.71,0.1117
307,412,ETF,15915.29,0.1112
308,1499,Bonds,17556.14,0.1345
309,1249,ETF,25095.86,0.0469
310,1865,Mutual Funds,14262.72,0.0422
311,1147,Stocks,12189.4,0.0718
312,143,ETF,24888.28,0.1289
313,4433,Stocks,44178.71,0.1287
314,959,Stocks,29956.93,0.025
315,3620,Bonds,45973.31,0.067
316,3261,Stocks,7952.73,0.0976
317,4961,Stocks,30810.38,0.086
318,3305,Mutual Funds,30978.62,0.0868
319,3402,Mutual Funds,3859.48,0.0647
320,80,Bonds,24990.12,0.0116
321,838,Mutual Funds,16208.18,0.0488
322,4942,ETF,46599.56,0.103
323,4550,Bonds,46099.16,0.0406
324,425,Bonds,47537.59,0.0117
325,4945,ETF,15735.19,0.11
326,2566,Bonds,48620.86,0.0945
327,3544,Stocks,32511.44,0.1111
328,53,Mutual Funds,45890.74,0.0504
329,3670,Stocks,27007.06,0.1005
330,1705,Mutual Funds,35080.54,0.0383
331,3409,Bonds,48508.14,0.1403
332,2945,Bonds,18344.81,0.0144
333,4846,ETF,13698.33,0.0604
334,1044,Mutual Funds,9623.56,0.1473
335,4023,ETF,5473.96,0.127
336,2125,Mutual Funds,5092.17,0.1451
337,1247,Stocks,4084.11,0.0415
338,993,Bonds,9496.15,0.1163
339,2835,Mutual Funds,32141.86,0.0197
340,3181,Stocks,38253.54,0.0304
341,4304,Mutual Funds,22815.2,0.049
342,1491,Stocks,14698.26,0.0144
343,3645,Mutual Funds,8261.03,0.0694
344,1665,Mutual Funds,13937.36,0.0518
345,2037,Mutual Funds,6277.73,0.0394
346,1308,ETF,44611.2,0.0878
347,16,Stocks,44739.53,0.0784
348,4484,ETF,18971.06,0.0628
349,3687,Bonds,2558.28,0.0188
350,646,Stocks,24025.58,0.0132
351,2118,Stocks,36842.39,0.0841
352,4516,Mutual Funds,3622.25,0.0572
353,4841,Bonds,29981.97,0.1226
354,3817,ETF,47110.39,0.0219
355,1858,Bonds,2295.15,0.0756
356,1969,Bonds,44319.51,0.0622
357,4718,Bonds,23638.55,0.0802
358,4810,Mutual Funds,32771.91,0.124
359,3347,Stocks,27354.38,0.1421
360,4475,Stocks,43833.18,0.0877
361,1509,Bonds,10335.45,0.0938
362,4638,Mutual Funds,21484.71,0.0851
363,2610,ETF,44463.7,0.0653
364,576,ETF,7718.71,0.0446
365,4733,Bonds,32361.93,0.0651
366,4986,Bonds,44915.54,0.0466
367,114,Stocks,34240.9,0.1005
368,926,Mutual Funds,1773.4,0.0308
369,2152,ETF,20950.14,0.1217
370,408,Stocks,37982.75,0.0607
371,3646,Stocks,29203.85,0.1291
372,4964,Mutual Funds,38698.44,0.1387
373,2128,Bonds,33386.54,0.0687
374,617,ETF,25573.04,0.0852
375,3654,Bonds,32573.91,0.0807
376,3588,ETF,9171.21,0.0785
377,1802,ETF,40109.29,0.0988
378,3103,Mutual Funds,1026.06,0.0642
379,3975,Stocks,37794.34,0.1273
380,1214,Mutual Funds,36385.02,0.0597
381,4405,Mutual Funds,8772.51,0.0523
382,2868,Bonds,3188.52,0.0832
383,4802,Stocks,32647.4,0.0602
384,1454,Mutual Funds,24705.57,0.1332
385,3930,Bonds,45973.29,0.1042
386,3287,Mutual Funds,4179.79,0.1203
387,1849,Mutual Funds,49473.28,0.0871
388,3479,Stocks,8800.28,0.1467
389,1897,Mutual Funds,24893.23,0.1198
390,1465,Bonds,18130.74,0.0521
391,1967,Stocks,35162.19,0.0805
392,3542,ETF,3013.88,0.0611
393,3793,Mutual Funds,33316.12,0.0616
394,2078,Bonds,40552.17,0.0312
395,1060,Stocks,6191.86,0.067
396,4356,Mutual Funds,32062.13,0.1386
397,2306,Bonds,41578.14,0.0679
398,3283,Stocks,38103.21,0.0146
399,4985,Stocks,44210.81,0.1435
400,3951,Stocks,11980.22,0.0624
401,3671,Stocks,16932.81,0.1448
402,3942,Stocks,36090.08,0.069
403,790,Mutual Funds,45487.45,0.1039
404,4232,Bonds,28065.58,0.1095
405,617,Mutual Funds,25824.08,0.0778
406,4387,ETF,11675.68,0.091
407,4219,Stocks,11251.09,0.0286
408,920,Bonds,49279.93,0.0386
409,1682,ETF,38496.71,0.1478
410,801,Mutual Funds,8255.7,0.0671
411,1785,Bonds,11581.19,0.0116
412,2545,Stocks,27083.82,0.0117
413,2055,Mutual Funds,44042.32,0.1181
414,3456,Bonds,6252.46,0.1093
415,3585,ETF,45856.9,0.1249
416,684,Stocks,6015.74,0.055
417,2521,ETF,8507.51,0.1403
418,2382,Mutual Funds,39644.96,0.1108
419,1529,Bonds,44686.09,0.0218
420,14,Bonds,12620.71,0.0127
421,1038,Stocks,40035.99,0.0428
422,3429,Bonds,41175.33,0.0351
423,664,Mutual Funds,49352.94,0.1337
424,3449,ETF,38137.41,0.0747
425,2823,Mutual Funds,9460.07,0.1045
426,2778,Stocks,13613.88,0.1496
427,2972,Mutual Funds,23159.24,0.1472
428,2039,Stocks,28296.41,0.0551
429,3962,Stocks,9360.87,0.1067
430,1247,Bonds,18913.72,0.0271
431,746,Mutual Funds,40818.91,0.1467
432,361,ETF,37440.64,0.1211
433,4627,Stocks,2569.44,0.0429
434,4978,Bonds,15019.91,0.0359
435,982,Stocks,43902.08,0.1068
436,4059,Bonds,28900.85,0.0119
437,3130,Mutual Funds,15303.31,0.0989
438,3468,Mutual Funds,23393.99,0.1067
439,4263,Bonds,47073.01,0.0446
440,1225,ETF,10787.37,0.0863
441,2459,Bonds,7790.43,0.1098
442,3615,Bonds,47817.55,0.0136
443,3818,Bonds,3132.58,0.0625
444,3824,ETF,47476.91,0.0751
445,1761,Stocks,15338.34,0.1427
446,22,Bonds,22627.15,0.0223
447,1436,ETF,6322.36,0.0944
448,3046,Stocks,19200.81,0.053
449,562,Mutual Funds,19258.19,0.1009
450,3727,Bonds,17754.81,0.0597
451,2451,Stocks,45732.36,0.0962
452,2397,Stocks,23696.46,0.1482
453,3148,ETF,33821.75,0.1032
454,4287,Bonds,27401.41,0.067
455,541,Bonds,13773.33,0.0889
456,3349,Bonds,49792.33,0.1365
457,2263,ETF,42530.47,0.0815
458,1753,Stocks,6034.77,0.0538
459,2940,Bonds,1012.82,0.0891
460,1771,Mutual Funds,28007.04,0.0293
461,2479,Mutual Funds,13098.62,0.1402
462,182,Stocks,8052.9,0.1487
463,3423,Stocks,18734.46,0.0103
464,3520,ETF,39262.64,0.0126
465,1891,Stocks,19699.16,0.1416
466,980,Stocks,2659.92,0.1316
467,4428,Mutual Funds,10511.97,0.1187
468,494,Mutual Funds,18860.96,0.0268
469,2443,Stocks,19049.79,0.1471
470,4199,ETF,37132.24,0.1244
471,1,Bonds,11366.82,0.0219
472,3348,ETF,6962.57,0.1316
473,3360,ETF,31527.88,0.0845
474,2468,Stocks,3212.29,0.1432
475,4310,Stocks,19011.3,0.0574
476,2586,Bonds,31024.3,0.0778
477,4753,Mutual Funds,37066.96,0.0461
478,1549,Bonds,40582.6,0.113
479,4016,Bonds,2842.63,0.0202
480,3158,ETF,43925.04,0.1422
481,1306,Mutual Funds,20116.39,0.0332
482,3128,ETF,40764.22,0.104
483,4740,Mutual Funds,34983.56,0.0499
484,2318,ETF,14758.12,0.1167
485,2475,Bonds,21745.65,0.1328
486,2394,Bonds,8392.95,0.1298
487,4518,ETF,2009.26,0.1171
488,3806,Bonds,23800.77,0.1267
489,1300,Stocks,20232.95,0.1095
490,4565,Mutual Funds,2670.94,0.1027
491,462,Stocks,13774.41,0.0122
492,4464,Mutual Funds,6839.69,0.0348
493,4571,Mutual Funds,37277.07,0.029
494,4274,Mutual Funds,1677.89,0.0754
495,2336,Stocks,7749.07,0.0877
496,1088,ETF,26306.62,0.0537
497,661,ETF,18875.75,0.0678
498,4285,Mutual Funds,46625.94,0.1088
499,324,Mutual Funds,24050.93,0.0608
500,339,Bonds,31554.5,0.0413
501,281,Stocks,23176.81,0.039
502,151,Bonds,31154.97,0.0953
503,3669,Stocks,25860.2,0.0865
504,2039,Stocks,36765.32,0.0344
505,1792,Mutual Funds,19739.1,0.143
506,4249,Mutual Funds,23100.19,0.0534
507,1686,Stocks,23389.48,0.1362
508,1702,ETF,1287.13,0.0845
509,4252,Stocks,13083.53,0.087
510,2437,Stocks,16298.33,0.1109
511,3522,Bonds,34501.25,0.1317
512,1229,Mutual Funds,43272.83,0.0191
513,534,Mutual Funds,1102.23,0.0743
514,3719,Stocks,10524.07,0.0169
515,2949,Bonds,31729.38,0.0723
516,3862,ETF,5687.91,0.0402
517,4819,Stocks,7444.65,0.0193
518,1856,Bonds,2162.8,0.0419
519,1099,Bonds,33670.9,0.0413
520,73,Mutual Funds,38497.48,0.0523
521,1809,Stocks,23501.83,0.021
522,1775,Bonds,21446.06,0.0629
523,3851,ETF,17580.4,0.0634
524,1827,Stocks,26368.06,0.0287
525,1919,Mutual Funds,29079.69,0.0493
526,2893,Stocks,20515.99,0.0694
527,2475,ETF,8700.98,0.1103
528,325,ETF,49990.43,0.0649
529,1529,Bonds,28999.88,0.0895
530,3141,Stocks,39751.49,0.1446
531,4760,ETF,9922.99,0.1354
532,2362,Stocks,14401.8,0.127
533,2325,ETF,6698.49,0.0581
534,2367,Mutual Funds,49121.48,0.0107
535,53,Bonds,9493.44,0.0302
536,919,Stocks,41524.96,0.0956
537,1216,Stocks,33459.95,0.1028
538,3230,Bonds,5965.08,0.0597
539,2709,ETF,4516.92,0.1444
540,467,Bonds,37428.67,0.016
541,883,Stocks,28132.4,0.0966
542,114,ETF,8803.72,0.0713
543,4798,Mutual Funds,3372.95,0.1141
544,2328,Bonds,16334.92,0.0694
545,1738,Bonds,41123.32,0.1216
546,2742,ETF,48581.93,0.0779
547,1167,Mutual Funds,8841.34,0.1279
548,2214,Mutual Funds,3032.99,0.0471
549,4989,Mutual Funds,1647.8,0.0635
550,3376,Stocks,38482.08,0.1278
551,3909,Mutual Funds,26377.72,0.0956
552,673,Mutual Funds,7587.94,0.0561
553,312,ETF,3421.0,0.0735
554,352,ETF,3019.96,0.091
555,4010,Stocks,28122.49,0.0917
556,3165,Bonds,37705.31,0.1222
557,278,Stocks,25156.6,0.0978
558,3508,Bonds,33055.76,0.054
559,2658,Bonds,8787.25,0.0299
560,4486,Bonds,19643.55,0.0863
561,3136,ETF,49119.01,0.0292
562,744,Bonds,21095.74,0.0875
563,1916,Bonds,33525.32,0.0609
564,3285,ETF,12972.96,0.1243
565,371,Mutual Funds,35414.11,0.029
566,409,Stocks,33863.76,0.0963
567,2022,Bonds,45123.34,0.1327
568,1806,Mutual Funds,23213.47,0.0865
569,1903,Bonds,42019.6,0.0926
570,2387,Mutual Funds,7282.03,0.0641
571,4541,Stocks,1079.3,0.0563
572,2210,Mutual Funds,15958.48,0.0464
573,4693,ETF,33130.81,0.1304
574,3704,Stocks,36911.38,0.1332
575,287,Mutual Funds,8704.03,0.1095
576,2154,Bonds,6112.18,0.0307
577,1524,Mutual Funds,17301.78,0.0751
578,3466,Mutual Funds,37160.61,0.1289
579,4079,ETF,37641.09,0.0798
580,3192,Stocks,30515.5,0.116
581,1230,ETF,23384.18,0.1288
582,4488,Bonds,11491.27,0.1111
583,926,Bonds,27815.11,0.0585
584,2043,Bonds,35726.29,0.0143
585,4071,Stocks,21443.01,0.0807
586,1762,Stocks,45278.23,0.0474
587,3461,Bonds,19557.31,0.1262
588,628,Mutual Funds,22501.88,0.0808
589,1527,Mutual Funds,41327.72,0.1085
590,1706,Bonds,11929.14,0.0359
591,460,Stocks,32670.36,0.0491
592,1583,Bonds,2630.6,0.0285
593,2028,Stocks,23135.99,0.1014
594,1471,Mutual Funds,47718.8,0.0207
595,2345,ETF,23077.48,0.1299
596,1251,Mutual Funds,14221.61,0.0996
597,123,ETF,21419.62,0.1441
598,1407,Mutual Funds,35129.71,0.035
599,1332,ETF,18625.98,0.0902
600,1918,ETF,6681.13,0.1417
601,851,Stocks,6309.65,0.1308
602,3776,Mutual Funds,24283.53,0.1149
603,3870,Mutual Funds,3971.65,0.137
604,2103,Mutual Funds,40399.51,0.1483
605,4517,ETF,16112.6,0.0911
606,3817,Stocks,8961.26,0.0827
607,1070,ETF,49563.93,0.1152
608,3837,Bonds,1570.03,0.1214
609,4906,Mutual Funds,10249.79,0.0241
610,286,ETF,22590.78,0.0678
611,3823,Mutual Funds,15166.09,0.1033
612,386,Mutual Funds,35183.2,0.1351
613,4922,ETF,39011.35,0.0809
614,2255,Bonds,46361.53,0.108
615,153,Mutual Funds,40852.92,0.112
616,2820,Bonds,21886.0,0.1004
617,1838,Stocks,8295.02,0.1438
618,4687,Stocks,33361.87,0.0417
619,3987,Mutual Funds,41237.25,0.0515
620,1890,ETF,3055.37,0.0983
621,346,ETF,15066.31,0.0129
622,2456,Stocks,45597.22,0.1328
623,1432,ETF,26379.78,0.1357
624,3815,ETF,25351.18,0.0826
625,210,Mutual Funds,4153.49,0.0246
626,4546,ETF,2772.62,0.0873
627,4795,Stocks,29520.36,0.1278
628,252,Mutual Funds,43741.88,0.0623
629,623,Stocks,42343.63,0.0333
630,4213,Stocks,2526.34,0.0407
631,1773,ETF,42309.1,0.0646
632,2035,Stocks,28569.78,0.0805
633,624,Bonds,46697.52,0.0471
634,2514,Stocks,13323.31,0.0826
635,1277,ETF,47603.99,0.093
636,2545,Mutual Funds,46416.25,0.0245
637,1948,Mutual Funds,48038.26,0.1361
638,4605,Bonds,30855.06,0.1097
639,2043,Mutual Funds,40002.8,0.0331
640,4298,Bonds,41571.61,0.0764
641,1500,Mutual Funds,48992.9,0.0486
642,4868,Stocks,4133.68,0.0743
643,4459,Bonds,26760.02,0.051
644,222,Bonds,24502.26,0.1038
645,3700,ETF,25025.09,0.131
646,4530,Bonds,14288.14,0.1087
647,3861,Stocks,34639.15,0.0157
648,2747,Stocks,38183.98,0.1487
649,636,Stocks,26085.66,0.0863
650,3294,Bonds,8955.1,0.1472
651,354,ETF,21170.17,0.0226
652,1546,Mutual Funds,27983.43,0.1366
653,1847,Bonds,7810.55,0.0733
654,4871,ETF,27966.18,0.0462
655,1692,Stocks,4185.9,0.1311
656,740,Bonds,3143.9,0.0203
657,3787,ETF,15400.72,0.0899
658,4442,Stocks,34133.1,0.1277
659,4633,ETF,4805.27,0.0837
660,505,Stocks,14542.15,0.024
661,132,Stocks,16494.69,0.1063
662,3923,Stocks,28932.41,0.0342
663,112,ETF,5348.06,0.0193
664,2254,Bonds,49624.16,0.1221
665,828,ETF,2021.95,0.072
666,252,Stocks,31030.04,0.138
667,3553,Mutual Funds,29809.52,0.136
668,1755,Mutual Funds,28483.97,0.0102
669,2442,ETF,28964.76,0.0536
670,3373,Stocks,19933.05,0.1112
671,1813,Bonds,26177.55,0.0323
672,2683,Bonds,33617.54,0.1245
673,3703,Stocks,48672.06,0.1086
674,4077,Mutual Funds,35936.45,0.0508
675,2004,Bonds,2043.34,0.0656
676,3085,ETF,22374.01,0.1142
677,409,Mutual Funds,47426.25,0.0225
678,4995,Bonds,24170.84,0.1249
679,2022,Stocks,36730.33,0.0601
680,2267,Mutual Funds,1486.26,0.0352
681,1376,Bonds,28411.29,0.1031
682,677,Bonds,9289.66,0.1423
683,1533,Bonds,32368.45,0.0484
684,4199,ETF,32680.43,0.0146
685,3432,ETF,5736.44,0.0397
686,4733,Stocks,16453.46,0.0935
687,2082,ETF,31022.99,0.0175
688,634,Bonds,14067.89,0.1497
689,3051,Stocks,16030.23,0.1374
690,817,Mutual Funds,8548.31,0.0508
