transaction_id,account_id,transaction_date,amount,transaction_type
149,1208,2023-02-17,-114.5,Deposit
150,1693,2023-08-08,4033.02,Deposit
151,1770,2023-08-03,3073.76,Deposit
152,588,2023-07-14,4110.04,Withdrawal
153,2002,2023-11-28,-2715.18,Withdrawal
154,1797,2023-01-05,-701.39,Withdrawal
155,4859,2023-01-31,3234.78,Withdrawal
156,5771,2023-02-10,-1655.77,Withdrawal
157,2117,2024-01-19,3725.94,Deposit
158,329,2023-09-11,-1356.87,Withdrawal
159,3690,2023-12-28,-3272.85,Deposit
160,5803,2023-08-03,-3226.77,Deposit
161,3568,2023-07-07,623.3,Withdrawal
162,5754,2023-06-19,545.73,Deposit
163,947,2023-03-08,-773.05,Deposit
164,4792,2023-05-08,-2549.57,Deposit
165,2000,2023-02-18,3372.29,Deposit
166,2760,2023-07-27,4644.52,Withdrawal
167,2538,2023-04-22,4600.56,Deposit
168,2653,2023-01-28,-4484.49,Withdrawal
169,1730,2023-05-18,-3378.04,Deposit
170,5511,2023-09-01,4779.77,Withdrawal
171,3780,2023-03-23,1425.05,Withdrawal
172,3978,2023-12-31,-3390.91,Withdrawal
173,5353,2023-12-04,1841.37,Deposit
174,4440,2024-01-13,-1932.08,Withdrawal
175,4222,2023-04-30,405.51,Withdrawal
176,3524,2023-04-02,178.82,Withdrawal
177,709,2023-08-02,-2830.57,Withdrawal
178,3671,2023-09-12,-4910.0,Withdrawal
179,4374,2023-01-16,-2664.69,Deposit
180,2914,2023-12-21,-900.32,Deposit
181,5967,2023-12-10,-600.73,Withdrawal
182,3074,2023-08-31,-1689.83,Withdrawal
183,3586,2023-02-21,-2667.22,Deposit
184,5491,2023-10-16,-4591.65,Deposit
185,4820,2023-06-04,-2027.68,Deposit
186,4866,2023-06-09,-517.33,Deposit
187,4025,2023-08-18,2281.5,Deposit
188,286,2023-03-28,3758.32,Withdrawal
189,3613,2023-12-29,1483.4,Deposit
190,3185,2024-01-19,120.86,Withdrawal
191,171,2023-08-30,-2337.27,Withdrawal
192,1111,2023-05-05,-366.95,Deposit
193,3717,2023-03-23,2082.75,Withdrawal
194,4816,2023-11-29,-2655.21,Withdrawal
195,5346,2023-12-24,1986.51,Deposit
196,129,2023-05-15,3733.76,Deposit
197,4946,2023-08-20,-1331.35,Deposit
198,3541,2023-11-11,3513.6,Deposit
199,635,2023-02-26,130.13,Withdrawal
200,2494,2023-12-17,-1253.01,Withdrawal
201,1589,2023-06-29,-200.57,Deposit
202,900,2023-11-26,-4296.15,Withdrawal
203,1079,2023-03-07,2609.01,Deposit
204,3149,2023-10-22,-1575.66,Withdrawal
205,68,2023-07-04,332.98,Withdrawal
206,3068,2023-08-20,-1877.6,Withdrawal
207,5352,2023-07-09,-4213.29,Withdrawal
208,4996,2023-03-10,1927.84,Withdrawal
209,3197,2023-02-25,3298.4,Deposit
210,2755,2023-04-29,3076.55,Deposit
211,3437,2023-04-13,-438.06,Deposit
212,2940,2023-10-04,-3317.73,Deposit
213,4196,2023-09-05,3162.13,Withdrawal
214,2157,2023-12-14,-70.62,Withdrawal
215,5158,2023-01-27,-271.46,Deposit
216,2155,2023-08-07,-1020.35,Withdrawal
217,2394,2023-02-08,-282.87,Withdrawal
218,303,2023-01-03,2230.6,Deposit
219,4833,2023-10-12,727.76,Deposit
220,5019,2023-10-05,-3494.03,Withdrawal
221,2191,2023-06-13,-1327.57,Deposit
222,2941,2023-06-29,-1819.8,Deposit
223,4451,2023-09-27,-4507.85,Deposit
224,4568,2024-01-13,-2995.86,Deposit
225,1575,2023-04-23,-4806.26,Withdrawal
226,4254,2023-09-22,-1263.21,Deposit
227,5022,2023-01-18,-4540.7,Withdrawal
228,2668,2023-01-02,-1303.78,Deposit
229,1460,2023-12-18,20.5,Withdrawal
230,455,2023-01-21,-4366.72,Withdrawal
231,3973,2023-09-05,-4336.19,Withdrawal
232,1474,2024-01-16,1729.2,Deposit
233,1003,2023-06-10,-3339.28,Withdrawal
234,368,2023-09-09,4296.42,Withdrawal
235,892,2023-10-12,-2824.94,Withdrawal
236,566,2023-11-26,-721.11,Deposit
237,5725,2023-04-11,-3446.78,Withdrawal
238,819,2023-03-18,-1886.94,Withdrawal
239,5862,2023-01-28,-1803.48,Deposit
240,686,2023-08-20,-4047.09,Withdrawal
241,4892,2023-12-03,-3425.16,Withdrawal
242,849,2023-06-15,594.67,Deposit
243,1635,2023-10-23,-1216.31,Withdrawal
244,5233,2023-06-02,-2803.2,Deposit
245,5717,2023-11-09,-3001.02,Deposit
246,5215,2023-07-11,882.57,Withdrawal
247,1390,2023-10-07,-3095.29,Deposit
248,2863,2024-01-28,3566.5,Withdrawal
249,260,2023-06-16,4577.97,Withdrawal
250,2259,2024-01-18,-3641.93,Withdrawal
251,2870,2023-05-11,3666.47,Withdrawal
252,3,2023-06-12,2732.09,Deposit
253,446,2023-05-29,-933.57,Deposit
254,4329,2023-07-29,3768.39,Withdrawal
255,2404,2024-01-18,1680.52,Deposit
256,5736,2023-07-19,705.92,Withdrawal
257,237,2023-02-07,4381.11,Withdrawal
258,5185,2023-02-15,2817.91,Withdrawal
259,1897,2023-06-17,-1207.66,Withdrawal
260,310,2023-09-01,-840.69,Deposit
261,996,2023-11-01,-1769.03,Withdrawal
262,1695,2023-02-27,-1944.03,Withdrawal
263,3493,2023-03-28,698.13,Deposit
264,3598,2023-06-22,3844.43,Deposit
265,3918,2023-03-25,-1146.3,Deposit
266,4233,2023-11-11,4507.92,Deposit
267,5668,2023-05-27,-263.29,Deposit
268,3553,2023-08-05,-2704.13,Withdrawal
269,4627,2023-03-01,2160.4,Withdrawal
270,4175,2023-09-10,1700.05,Withdrawal
271,5267,2023-06-22,1717.23,Withdrawal
272,5306,2023-03-14,1914.11,Withdrawal
273,205,2023-08-07,2626.26,Withdrawal
274,3582,2023-03-11,4887.38,Withdrawal
275,5198,2023-02-15,-1793.83,Withdrawal
276,3921,2023-04-05,-570.01,Deposit
277,499,2023-11-13,463.4,Deposit
278,4781,2023-01-15,-215.46,Withdrawal
279,1169,2023-02-11,-2897.13,Withdrawal
280,4264,2023-10-15,-4604.08,Withdrawal
281,2619,2023-07-15,-4649.23,Withdrawal
282,5698,2023-04-08,-1413.31,Withdrawal
283,712,2023-04-19,2267.56,Deposit
284,1228,2023-07-04,2708.87,Deposit
285,3158,2023-06-21,2363.84,Withdrawal
286,346,2023-10-29,-279.37,Withdrawal
287,5345,2023-08-26,4004.27,Deposit
288,3444,2023-10-29,-2251.82,Withdrawal
289,1089,2023-04-24,-3432.42,Withdrawal
290,890,2023-09-13,-3452.73,Withdrawal
291,2576,2023-05-31,-4602.23,Deposit
292,3808,2023-12-03,3216.18,Deposit
293,5393,2023-09-09,-1584.43,Deposit
294,5035,2023-10-06,3653.92,Deposit
295,2543,2023-05-03,-1072.57,Deposit
296,5848,2023-04-15,-2727.41,Withdrawal
297,1695,2023-11-28,-2216.95,Withdrawal
298,3741,2023-02-01,-3441.57,Withdrawal
299,4313,2023-04-25,-4863.6,Deposit
300,4891,2023-02-26,-4384.82,Deposit
301,4354,2024-01-13,-920.74,Deposit
302,3179,2023-10-24,1211.38,Withdrawal
303,1808,2024-01-31,625.7,Deposit
304,2266,2023-07-02,549.19,Withdrawal
305,111,2023-12-20,-4421.42,Withdrawal
306,2423,2024-01-28,1259.53,Withdrawal
307,3880,2023-07-11,335.11,Deposit
308,5735,2024-01-16,4580.97,Withdrawal
309,499,2023-01-02,840.11,Withdrawal
310,1257,2023-04-02,3975.5,Withdrawal
311,2100,2023-04-15,-1218.52,Deposit
312,2016,2023-04-17,-1509.83,Deposit
313,978,2023-11-02,-2650.11,Deposit
314,1393,2023-08-24,629.79,Withdrawal
315,1075,2023-05-26,3412.11,Deposit
316,2413,2023-03-14,-4793.59,Deposit
317,5383,2023-04-13,1731.25,Deposit
318,646,2023-09-21,-4435.39,Withdrawal
319,1112,2023-05-04,4615.31,Withdrawal
320,2546,2023-07-02,-2513.5,Deposit
321,3118,2023-11-03,2337.61,Withdrawal
322,4216,2023-10-04,4037.12,Withdrawal
323,2677,2023-03-08,2606.72,Deposit
324,776,2023-12-15,-4117.41,Deposit
325,990,2023-03-29,2245.25,Deposit
326,576,2023-10-07,-4574.6,Withdrawal
327,429,2024-01-22,-1075.18,Withdrawal
328,1246,2023-12-26,3599.75,Withdrawal
329,3956,2023-07-23,-103.78,Withdrawal
330,1710,2023-04-24,-2661.04,Deposit
331,2300,2023-05-01,-335.06,Deposit
332,4115,2023-05-27,2772.09,Withdrawal
333,3322,2023-03-08,1616.35,Withdrawal
334,5423,2023-09-19,-3029.81,Withdrawal
335,744,2023-06-04,-3193.48,Deposit
336,1474,2023-12-01,193.22,Withdrawal
337,683,2023-12-31,4514.97,Deposit
338,471,2023-03-12,-336.22,Deposit
339,4236,2023-02-13,-4796.72,Withdrawal
340,2588,2023-01-28,4869.27,Deposit
341,580,2023-02-01,-4903.1,Deposit
342,4783,2024-01-01,-4025.65,Withdrawal
343,5692,2023-09-22,-3194.12,Withdrawal
344,3738,2024-01-09,-848.89,Withdrawal
345,2581,2023-10-11,847.17,Deposit
346,2623,2023-07-26,-4059.15,Withdrawal
347,160,2023-04-14,-1273.03,Deposit
348,835,2023-03-21,4121.67,Withdrawal
349,2839,2023-02-20,-1957.25,Withdrawal
350,2047,2023-05-26,583.48,Withdrawal
351,3155,2023-06-13,-4052.77,Withdrawal
352,3910,2023-04-29,269.54,Withdrawal
353,4552,2023-05-19,339.83,Deposit
354,4396,2023-03-09,-2912.31,Deposit
355,1317,2023-12-15,-1824.46,Withdrawal
356,1895,2023-05-01,-750.46,Withdrawal
357,3353,2023-04-29,-3768.08,Deposit
358,2670,2023-04-23,-1341.6,Withdrawal
359,2464,2023-03-13,-3007.77,Withdrawal
360,3428,2023-03-08,1188.45,Deposit
361,1599,2023-03-25,-3208.38,Deposit
362,1076,2023-10-08,9.95,Withdrawal
363,524,2023-01-19,4779.27,Withdrawal
364,105,2023-03-17,2718.7,Withdrawal
365,1717,2023-11-12,1218.31,Withdrawal
366,1345,2023-01-14,-1669.39,Deposit
367,2552,2023-08-08,-2291.03,Withdrawal
368,2289,2023-06-01,-2142.83,Deposit
369,3070,2023-06-29,-4621.15,Withdrawal
370,463,2023-10-11,-2138.02,Withdrawal
371,1222,2023-10-20,4736.08,Deposit
372,1000,2023-02-03,-4899.09,Withdrawal
373,5550,2023-03-28,-3057.35,Deposit
374,4637,2023-03-01,2864.64,Withdrawal
375,4392,2023-12-22,177.72,Withdrawal
376,3373,2023-12-13,-1242.9,Deposit
377,5501,2023-12-26,4824.5,Deposit
378,3062,2023-03-11,1773.54,Deposit
379,2398,2023-03-13,-2665.79,Deposit
380,3751,2024-01-27,-3482.55,Deposit
381,1301,2023-01-24,-4641.22,Deposit
382,3802,2023-10-04,-2679.29,Withdrawal
383,5012,2023-01-21,184.87,Deposit
384,1249,2023-01-27,-152.12,Deposit
385,1786,2023-11-16,1681.17,Deposit
386,2405,2023-01-01,-3765.97,Withdrawal
387,5025,2023-01-23,-3114.02,Withdrawal
388,228,2023-12-30,4934.51,Deposit
389,510,2023-12-23,-691.43,Withdrawal
390,4041,2023-02-23,-2062.9,Deposit
391,5461,2023-08-25,-2285.59,Deposit
392,4760,2023-11-13,-2986.3,Deposit
393,4594,2024-01-18,-1350.71,Withdrawal
394,5637,2023-01-09,-4614.46,Deposit
395,3507,2023-01-02,-241.68,Deposit
396,1531,2023-10-29,-500.2,Deposit
397,4001,2023-02-18,901.33,Deposit
398,3096,2023-10-15,-1780.27,Withdrawal
399,4225,2023-11-01,2760.35,Withdrawal
400,5401,2023-04-18,-4915.99,Withdrawal
401,1087,2023-06-20,3401.21,Withdrawal
402,5193,2023-03-17,-1014.31,Deposit
403,5770,2023-01-08,529.09,Deposit
404,465,2023-09-15,-2017.25,Deposit
405,3352,2023-07-05,671.5,Withdrawal
406,2533,2023-07-01,-2105.43,Deposit
407,1707,2023-03-15,-3173.02,Withdrawal
408,5921,2023-10-31,-3802.3,Withdrawal
409,1596,2023-10-28,-866.81,Withdrawal
410,4214,2023-09-29,742.76,Deposit
411,5694,2023-05-09,3652.34,Withdrawal
412,2942,2023-11-05,800.81,Deposit
413,1762,2023-05-24,-1544.4,Withdrawal
414,5055,2024-01-05,-4598.26,Deposit
415,4228,2023-04-05,1693.07,Withdrawal
416,5694,2023-05-24,-2992.24,Deposit
417,1922,2023-08-01,-1233.89,Deposit
418,4440,2023-03-14,384.14,Deposit
419,4625,2023-08-23,4850.94,Deposit
420,3831,2023-07-14,-1535.04,Withdrawal
421,3128,2023-02-28,4828.92,Deposit
422,815,2023-11-21,-1187.71,Withdrawal
423,5373,2023-07-10,-1286.73,Withdrawal
424,1386,2023-06-22,185.38,Deposit
425,5526,2023-01-08,-3646.74,Deposit
426,3153,2023-01-04,4983.31,Withdrawal
427,3195,2023-11-14,-4133.11,Deposit
428,4440,2023-01-05,2702.06,Withdrawal
429,657,2023-12-14,4471.09,Deposit
430,3151,2023-02-08,4662.37,Withdrawal
431,1135,2023-02-02,3795.51,Deposit
432,5241,2023-07-15,-1206.7,Withdrawal
433,5818,2023-12-27,3577.13,Deposit
434,4862,2023-05-07,-95.42,Deposit
435,3405,2023-07-11,4681.63,Withdrawal
436,4572,2023-04-27,2668.73,Deposit
437,4796,2023-06-09,-4656.77,Deposit
438,5941,2024-01-09,1916.78,Deposit
439,1716,2023-06-01,2878.53,Deposit
440,5038,2023-06-06,-1394.5,Withdrawal
441,4870,2023-06-22,-544.07,Withdrawal
442,3313,2023-03-09,-1748.48,Withdrawal
443,3406,2023-12-25,1963.61,Withdrawal
444,3314,2023-07-03,-547.32,Withdrawal
445,3252,2023-11-10,-1951.75,Deposit
446,893,2023-07-23,4864.69,Withdrawal
447,5582,2023-11-21,-2496.03,Deposit
448,3464,2023-10-26,2724.45,Deposit
449,2489,2023-04-13,-3313.57,Deposit
450,26,2023-07-27,-2830.36,Deposit
451,875,2023-05-02,1130.33,Deposit
452,813,2023-07-27,-4851.01,Withdrawal
453,150,2024-01-28,-4428.2,Withdrawal
454,4786,2023-06-06,1594.1,Withdrawal
455,2813,2023-04-10,148.62,Withdrawal
456,1855,2023-08-02,-1902.5,Withdrawal
457,3738,2023-04-19,2383.89,Deposit
458,1610,2023-11-12,-3964.34,Deposit
459,1257,2023-10-28,1295.56,Deposit
460,3943,2023-05-16,2921.2,Deposit
461,3405,2023-02-19,3999.13,Deposit
462,4268,2023-08-11,3263.9,Deposit
463,121,2023-01-05,542.05,Deposit
464,4262,2023-02-27,-676.18,Deposit
465,2301,2023-10-29,-975.99,Withdrawal
466,4407,2023-01-05,-2568.22,Deposit
467,630,2023-12-17,-4441.89,Withdrawal
468,1828,2023-09-19,-2210.09,Withdrawal
469,2224,2023-12-09,2826.36,Deposit
470,5783,2023-06-03,-4322.08,Deposit
471,5593,2023-04-30,-3176.43,Deposit
472,1589,2023-12-29,1905.05,Withdrawal
473,3054,2023-11-21,-3912.81,Withdrawal
474,2508,2023-03-02,-1470.56,Withdrawal
475,5800,2023-09-16,4338.7,Withdrawal
476,3272,2023-02-01,-3494.02,Deposit
477,3017,2023-06-05,-3172.41,Withdrawal
478,5510,2023-05-20,-4329.92,Withdrawal
479,2420,2023-04-24,-70.0,Deposit
480,677,2024-01-13,-1169.53,Withdrawal
481,2918,2023-04-13,2171.61,Deposit
482,947,2023-07-01,821.48,Withdrawal
483,4225,2023-02-03,-2416.93,Deposit
484,507,2023-01-19,344.49,Deposit
485,1501,2023-04-29,2082.83,Deposit
486,5822,2024-01-26,2213.73,Withdrawal
487,3356,2023-06-12,-2125.26,Deposit
488,5445,2023-04-17,-2581.95,Withdrawal
489,1683,2023-02-14,3494.02,Deposit
490,4957,2023-02-28,1762.66,Deposit
491,5770,2023-11-21,3181.74,Withdrawal
492,2160,2023-01-21,-1833.06,Withdrawal
493,2088,2023-09-07,2030.48,Deposit
494,1311,2023-05-11,-201.18,Deposit
495,4167,2023-05-30,-2873.45,Withdrawal
496,2758,2023-10-07,-2366.69,Withdrawal
497,1050,2023-04-09,-2781.09,Deposit
498,1746,2023-11-12,1940.0,Deposit
499,4221,2023-12-25,-1361.35,Withdrawal
500,5959,2023-07-31,3816.76,Withdrawal
501,1545,2023-10-20,-1915.23,Withdrawal
502,1519,2023-04-01,4559.51,Withdrawal
503,3039,2023-12-11,-1021.46,Withdrawal
504,1142,2023-06-07,797.47,Deposit
505,4575,2023-07-29,-2167.46,Deposit
506,3775,2023-04-07,-3141.37,Withdrawal
507,2372,2023-10-08,-3542.39,Deposit
508,5860,2023-08-26,-2858.59,Deposit
509,4502,2023-03-04,4913.36,Withdrawal
510,4898,2023-02-20,1384.66,Withdrawal
511,557,2023-03-14,-2545.03,Deposit
512,4487,2023-01-21,-3740.49,Withdrawal
513,587,2023-01-12,1187.91,Withdrawal
514,5382,2023-12-29,296.62,Withdrawal
515,1166,2023-02-26,-2615.42,Withdrawal
516,2938,2024-01-27,248.74,Withdrawal
517,4164,2023-09-16,-4710.03,Deposit
518,1660,2024-01-02,766.05,Withdrawal
519,3610,2023-11-11,-3041.16,Withdrawal
520,3496,2023-08-30,-3973.32,Withdrawal
521,5616,2023-07-24,537.35,Withdrawal
522,4826,2023-09-02,67.39,Withdrawal
523,2379,2023-08-20,-3992.74,Withdrawal
524,3880,2023-02-20,2020.48,Deposit
525,1987,2023-10-15,-2440.08,Deposit
526,4546,2023-05-17,-1699.84,Withdrawal
527,3966,2023-11-08,-2571.67,Withdrawal
528,65,2023-05-25,-1524.71,Deposit
529,983,2023-11-23,-1298.06,Deposit
530,2854,2023-08-09,4623.52,Deposit
531,4369,2023-07-31,-66.66,Deposit
532,4160,2023-11-23,-3925.6,Deposit
533,2319,2023-03-21,-1752.01,Withdrawal
534,5111,2023-11-12,-724.83,Withdrawal
535,5750,2024-01-15,-3710.97,Deposit
536,2089,2023-09-10,-2627.86,Withdrawal
537,3342,2023-07-03,226.49,Deposit
538,104,2023-10-16,-4444.38,Withdrawal
539,1865,2023-10-18,-1683.73,Deposit
540,246,2023-04-07,837.91,Deposit
541,2311,2024-01-05,-2361.23,Deposit
542,223,2023-07-18,272.46,Withdrawal
543,1958,2023-12-04,4665.51,Withdrawal
544,3055,2023-09-06,-465.72,Deposit
545,3412,2023-12-26,-4243.39,Withdrawal
546,447,2023-04-29,-2951.78,Withdrawal
547,703,2024-01-21,2375.69,Withdrawal
548,2265,2023-03-10,-4355.3,Withdrawal
549,4899,2023-01-21,2111.63,Withdrawal
550,1246,2023-05-05,4941.92,Withdrawal
551,1174,2023-03-13,-4227.25,Withdrawal
552,712,2023-08-05,-2295.16,Withdrawal
553,5627,2024-01-09,4041.23,Withdrawal
554,3820,2023-03-18,-4213.83,Deposit
555,4893,2023-10-22,-4577.82,Withdrawal
556,1056,2023-10-03,-1188.05,Withdrawal
557,2705,2023-05-02,-3743.54,Deposit
558,1887,2023-10-26,2316.43,Withdrawal
559,2819,2023-11-01,4031.12,Withdrawal
560,542,2023-05-24,2100.72,Withdrawal
561,3737,2023-12-29,2694.89,Withdrawal
562,2792,2023-09-10,1937.31,Withdrawal
563,212,2024-01-27,2223.52,Withdrawal
564,107,2023-02-27,-2575.51,Deposit
565,5729,2023-12-21,-623.75,Withdrawal
566,2864,2023-12-30,2454.49,Withdrawal
567,5974,2024-01-15,626.93,Withdrawal
568,643,2023-04-05,4992.22,Withdrawal
569,1459,2023-03-17,11.37,Deposit
570,1186,2024-01-14,690.34,Deposit
571,2585,2023-10-23,-2274.2,Deposit
572,527,2023-03-29,2104.33,Withdrawal
573,474,2023-12-23,992.89,Deposit
574,5560,2023-03-26,-1430.87,Deposit
575,710,2023-10-12,-2812.21,Deposit
576,1517,2023-02-22,-4145.52,Withdrawal
577,2196,2023-03-02,2562.28,Deposit
578,1772,2024-01-08,-2753.41,Withdrawal
579,5429,2023-08-25,4014.18,Withdrawal
580,5112,2023-08-13,720.94,Deposit
581,3862,2023-06-06,-1090.12,Withdrawal
582,1101,2023-11-01,1888.75,Withdrawal
583,3378,2023-06-02,-3449.2,Withdrawal
584,1980,2023-04-30,-3593.28,Deposit
585,3459,2023-01-02,-1400.94,Deposit
586,5539,2023-07-01,-3767.27,Withdrawal
587,1693,2023-07-26,2309.14,Deposit
588,3731,2023-07-11,-4183.34,Withdrawal
589,2317,2023-09-27,-3871.08,Withdrawal
590,5317,2023-11-01,799.39,Deposit
591,2089,2023-07-25,-1594.55,Deposit
592,5283,2023-09-15,636.56,Deposit
593,970,2023-07-03,-3694.84,Withdrawal
594,5575,2023-10-08,-489.08,Withdrawal
595,46,2023-05-19,-3514.26,Deposit
596,1392,2023-08-06,4094.82,Deposit
597,4106,2023-07-24,4274.26,Withdrawal
598,523,2024-01-28,-2285.55,Deposit
599,2055,2023-03-18,4025.45,Deposit
600,5481,2024-01-06,-3644.25,Deposit
